* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 12-21-2016
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 12-21-2016
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 12-21-2016
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 12-21-2016
* Calibration Pure Dye NED is expired = Yes
* Calibration Pure Dye NED performed on = 12-21-2016
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 12-21-2016
* Calibration Pure Dye SYBR is expired = Yes
* Calibration Pure Dye SYBR performed on = 12-21-2016
* Calibration Pure Dye TAMRA is expired = Yes
* Calibration Pure Dye TAMRA performed on = 12-21-2016
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 12-21-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 12-21-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 12-21-2016
* Chemistry = SYBR_GREEN
* Date Created = 2018-07-09 18:38:45 PM CST
* Date Modified = 2018-07-09 20:35:06 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = H:\Spring_Work\35. Data\2018-5-30 pathogen qPCR\2018-07-09 183809.eds
* Experiment Name = 2018-07-09 183809
* Experiment Run Start Time = 2018-07-10 02:54:59 AM CST
* Experiment Run Stop Time = 2018-07-10 04:48:33 AM CST
* Experiment Type = Relative Standard Curve
* Instrument Name = 278861596
* Instrument Serial Number = 278861596
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 3
* User Name = NA

[Amplification Data]
Well	Cycle	Target Name	Rn	Delta Rn
8	31	O157	0.353	0.035
8	32	O157	0.393	0.075
8	33	O157	0.473	0.153
8	34	O157	0.621	0.302
8	35	O157	0.885	0.565
8	36	O157	1.310	0.990
8	37	O157	1.874	1.553
8	38	O157	2.446	2.124
8	39	O157	2.900	2.578
8	40	O157	3.202	2.880
9	1	O157	0.088	0.004
9	2	O157	0.087	0.004
9	3	O157	0.086	0.003
9	4	O157	0.085	0.002
9	5	O157	0.085	0.001
9	6	O157	0.084	0.001
9	7	O157	0.084	0.001
9	8	O157	0.084	0.001
9	9	O157	0.083	0.000
9	10	O157	0.082	-0.001
9	11	O157	0.082	-0.001
9	12	O157	0.081	-0.002
9	13	O157	0.081	-0.002
9	14	O157	0.081	-0.001
9	15	O157	0.082	-0.000
9	16	O157	0.082	-0.000
9	17	O157	0.082	-0.001
9	18	O157	0.081	-0.002
9	19	O157	0.080	-0.002
9	20	O157	0.082	-0.001
9	21	O157	0.081	-0.001
9	22	O157	0.080	-0.002
9	23	O157	0.080	-0.002
9	24	O157	0.081	-0.001
9	25	O157	0.081	-0.001
9	26	O157	0.081	-0.000
9	27	O157	0.083	0.001
9	28	O157	0.085	0.003
9	29	O157	0.088	0.006
9	30	O157	0.093	0.012
9	31	O157	0.104	0.023
9	32	O157	0.127	0.046
9	33	O157	0.171	0.090
9	34	O157	0.258	0.177
9	35	O157	0.420	0.339
9	36	O157	0.707	0.627
9	37	O157	1.160	1.079
9	38	O157	1.745	1.664
9	39	O157	2.328	2.247
9	40	O157	2.748	2.668
10	1	O157	0.136	0.005
10	2	O157	0.135	0.004
10	3	O157	0.134	0.003
10	4	O157	0.133	0.003
10	5	O157	0.133	0.002
10	6	O157	0.132	0.001
10	7	O157	0.132	0.001
10	8	O157	0.131	0.001
10	9	O157	0.130	-0.000
10	10	O157	0.130	-0.001
10	11	O157	0.129	-0.001
10	12	O157	0.128	-0.002
10	13	O157	0.128	-0.002
10	14	O157	0.129	-0.001
10	15	O157	0.128	-0.002
10	16	O157	0.128	-0.002
10	17	O157	0.129	-0.001
10	18	O157	0.129	-0.001
10	19	O157	0.128	-0.001
10	20	O157	0.127	-0.002
10	21	O157	0.127	-0.002
10	22	O157	0.128	-0.001
10	23	O157	0.129	-0.001
10	24	O157	0.129	-0.000
10	25	O157	0.129	0.000
10	26	O157	0.131	0.002
10	27	O157	0.132	0.003
10	28	O157	0.135	0.006
10	29	O157	0.141	0.012
10	30	O157	0.154	0.025
10	31	O157	0.179	0.050
10	32	O157	0.227	0.098
10	33	O157	0.318	0.189
10	34	O157	0.488	0.359
10	35	O157	0.789	0.661
10	36	O157	1.265	1.136
10	37	O157	1.871	1.743
10	38	O157	2.447	2.319
10	39	O157	2.892	2.763
10	40	O157	3.178	3.050
11	1	O157	0.091	0.003
11	2	O157	0.091	0.003
11	3	O157	0.090	0.003
11	4	O157	0.089	0.001
11	5	O157	0.087	-0.000
